index,inferencetime
0,243
1,106
2,107
3,103
4,106
5,104
6,111
7,105
8,104
9,107
10,114
11,105
12,102
13,109
14,107
15,104
16,109
17,105
18,107
19,104
20,108
21,107
22,108
23,109
24,104
25,105
26,107
27,106
28,104
29,105
30,104
31,104
32,104
33,105
34,103
35,102
36,104
37,105
38,104
39,103
40,103
41,104
42,109
43,103
44,107
45,108
46,105
47,104
48,103
49,102
50,103
51,103
52,103
53,104
54,105
55,106
56,103
57,104
58,102
59,105
60,104
61,106
62,107
63,103
64,107
65,102
66,103
67,105
68,102
69,113
70,101
71,103
72,106
73,104
74,123
75,103
76,104
77,113
78,102
79,105
80,105
81,102
82,103
83,101
84,105
85,103
86,103
87,103
88,105
89,107
90,104
91,107
92,105
93,102
94,102
95,101
96,124
97,101
98,114
99,104
