index,inferencetime
0,232
1,174
2,128
3,106
4,103
5,106
6,105
7,105
8,107
9,101
10,118
11,105
12,130
13,106
14,102
15,111
16,108
17,100
18,104
19,100
20,101
21,99
22,101
23,99
24,104
25,101
26,105
27,99
28,101
29,100
30,100
31,102
32,101
33,102
34,100
35,102
36,100
37,102
38,100
39,102
40,100
41,100
42,100
43,99
44,100
45,103
46,125
47,100
48,144
49,135
50,128
51,101
52,101
53,103
54,104
55,100
56,114
57,99
58,99
59,102
60,101
61,101
62,103
63,106
64,102
65,102
66,102
67,100
68,98
69,112
70,101
71,102
72,102
73,99
74,103
75,99
76,102
77,101
78,102
79,98
80,103
81,99
82,101
83,99
84,100
85,99
86,100
87,99
88,99
89,103
90,99
91,102
92,99
93,111
94,99
95,103
96,100
97,99
98,100
99,100
