index,inferencetime
0,214
1,73
2,74
3,108
4,98
5,82
6,78
7,73
8,74
9,74
10,73
11,75
12,86
13,73
14,75
15,75
16,74
17,77
18,85
19,83
20,73
21,74
22,76
23,74
24,85
25,73
26,75
27,73
28,72
29,91
30,74
31,71
32,77
33,73
34,72
35,74
36,75
37,88
38,72
39,96
40,73
41,72
42,74
43,72
44,74
45,105
46,73
47,71
48,74
49,73
50,71
51,73
52,72
53,73
54,72
55,73
56,74
57,75
58,73
59,73
60,72
61,72
62,73
63,73
64,73
65,72
66,72
67,72
68,72
69,75
70,73
71,95
72,74
73,73
74,71
75,73
76,73
77,72
78,71
79,72
80,72
81,71
82,78
83,72
84,71
85,80
86,72
87,71
88,73
89,73
90,71
91,72
92,73
93,71
94,73
95,78
96,72
97,76
98,73
99,97
